Bölüm,Universite Kacinci Sinif,Universite Not Ortalamasi,Daha Once Baska Bir Universiteden Mezun Olmus,Lise Adi,Lise Adi Diger,Lise Sehir,Lise Turu,Lise Bolumu,Lise Bolum Diger,Lise Mezuniyet Notu,Ingilizce Biliyor musunuz?,Ingilizce Seviyeniz?,"Daha Önceden Mezun Olunduysa, Mezun Olunan Üniversite"
matematik / iktisat cift anadal,3,3.0-3.5,0,bilal gungor anadolu ogretmen lisesi,Null,ankara,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
siyaset bilimi ve uluslararasi iliskiler,1,Null,0,toros akdeniz,Null,antalya,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
bilgisayar muhendisligi,4,2.5-3.0,0,kadikoy mustafa saffet anadolu lisesi,Null,istanbul,anadolu lisesi,sayisal,Null,3.0-3.5,Null,Null,Null
endustri muhendisligi,4,3.0-3.5,0,karadeniz eregli anadolu lisesi,Null,zonguldak,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
ic mimarlik ve cevre tasarimi,2,2.5-3.0,0,mersin dumlupinar lisesi,Null,mersin,duz lise,sayisal,Null,2.5-3.0,Null,Null,Null
hukuk fakultesi,1,Null,0,buca omer seyfettin lisesi,Null,izmir,duz lise,esit agirlik,Null,3.0-4.0,Null,Null,Null
uluslararasi finans,3,2.5-3.0,0,metin nuran cakallikli anadolu lisesi,Null,antalya,anadolu lisesi,esit agirlik,Null,3.0-3.5,Null,Null,Null
bilgisayar muhendisligi ingilizce,4,2.5-3.0,0,yozgat sehitler fen lisesi,Null,yozgat,fen lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
endustri muhendisligi,2,2.5-3.0,0,uskudar anadolu lisesi,Null,istanbul,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
mimarlik bolumu,3,3.0-4.0,0,amasya anadolu lisesi,Null,amasya,anadolu lisesi,fen bilimleri,Null,3.0-3.5,Null,Null,Null
halkla iliskiler ve reklamcilik,1,Null,0,karsiyaka merkez anadolu lisesi,Null,izmir,anadolu lisesi,dil,Null,3.0-4.0,Null,Null,Null
uluslararasi ticaret,2,2.5-3.0,0,istanbul prof. dr. mumtaz turhan sosyal bilimler lisesi,Null,istanbul,duz lise,Null,Null,3.0-3.5,Null,Null,Null
isletme ingilizce,4,0.0-2.5,0,alanya hasan colak anadolu lisesi,Null,antalya,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
endustri muhendisligi,3,3.0-3.5,0,isparta suleyman demirel fen lisesi,Null,isparta,fen lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
ingilizce isletme,3,2.5-3.0,0,kadriye calik anadolu lisesi,Null,kahramanmaras,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
iktisatingilizce,2,3.0-3.5,0,ozel irfan anadolu lisesi,Null,istanbul,Özel,esit agirlik,Null,3.0-4.0,Null,Null,Null
fizyoterapi ve rehabilitasyon,1,Null,0,bolu fen lisesi,Null,bolu,fen lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
kamu yonetimi,4,2.5-3.0,0,trabzon cumhuriyet lisesi,Null,trabzon,duz lise,esit agirlik,Null,3.0-4.0,Null,Null,Null
gida muhendisligi,4,3.0-4.0,0,sisli kurtulus lisesi,Null,istanbul,duz lise,sayisal,Null,3.0-3.5,Null,Null,Null
ingilizce matematik,1,Null,0,besiktas anadolu lisesi,Null,istanbul,anadolu lisesi,sayisal,Null,3.0-3.5,Null,Null,Null
elektrik ve elektronik muendisligi,3,2.5-3.0,0,baldoktu anadolu lisesi,Null,kayseri,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
iktisat,3,3.0-3.5,0,ataturk lisesi,Null,kutahya,duz lise,esit agirlik,Null,3.0-3.5,Null,Null,Null
isletme,3,2.5-3.0,1,izmir kiraz anadolu lisesi,Null,izmir,anadolu lisesi,fen bilimleri,Null,2.5-3.0,Null,Null,Null
ingiliz dili ve edebiyati,3,2.5-3.0,0,safranbolu anadolu lisesi,Null,karabuk,anadolu lisesi,dil,Null,3.0-4.0,Null,Null,Null
ingilizce uluslararasi iliskiler,2,2.5-3.0,0,yavuz selim lisesi,Null,elazig,Özel,fen bilimleri,Null,3.0-4.0,Null,Null,Null
isletme ingilizce,4,3.0-3.5,0,sekine evren anadolu lisesi,Null,manisa,anadolu lisesi,esit agirlik,Null,3.0-3.5,Null,Null,Null
halkla iliskiler ve tanitim,3,3.0-4.0,0,sariyer vehbi koc vakfi lisesi,Null,istanbul,duz lise,esit agirlik,Null,3.0-3.5,Null,Null,Null
sosyal hizmet,2,3.0-3.5,0,kagithane lisesi,Null,istanbul,duz lise,esit agirlik,Null,3.0-4.0,Null,Null,Null
siyaset bilimi ve uluslar arasi iliskiler,hazirlik,Null,0,karadeniz eregli anadolu lisesi,Null,zonguldak,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
molekuler biyoloji ve genetik,1,3.0-3.5,0,nazilli anadolu lisesi,Null,aydin,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
tip fakultesi,1,Null,0,nafi gural gen lisesi,Null,kutahya,fen lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
gida muhendisligi,1,Null,0,urla hakan ceken anadolu lisesi,Null,izmir,anadolu lisesi,sayisal,Null,3.0-3.5,Null,Null,Null
bilgisayar programciligi,2,2.5-3.0,0,bakirkoy lisesi,Null,istanbul,duz lise,esit agirlik,Null,3.0-3.5,Null,Null,Null
mimarlik ingilizce,3,3.0-3.5,0,erkut soyak lisesi,Null,istanbul,duz lise,sayisal,Null,3.0-3.5,Null,Null,Null
elektrik ve elektronik muhendisligi,4,3.0-3.5,0,mev koleji ozel basinkoy anadolu lisesi,Null,istanbul,Özel,fen bilimleri,Null,3.0-4.0,Null,Null,Null
yonetim bilimleri,1,Null,0,cagaloglu anadolu lisesi,Null,istanbul,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
"otel yoneticiligi lisans ingilizce / hotel management, %100 burslu",hazirlik,Null,0,izmir ataturk lisesi,Null,izmir,anadolu lisesi,esit agirlik,Null,3.0-3.5,Null,Null,Null
tip,2,3.0-3.5,0,canakkale fen lisesi,Null,Null,fen lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
bilgisayar muhendisligi,4,3.0-4.0,0,bornova anadolu lisesi,Null,izmir,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
muhasebe bilgi sistemler,3,3.0-3.5,0,tercuman koleji,Null,istanbul,Özel,dil,Null,3.0-3.5,Null,Null,Null
lojistik yonetimi,2,3.0-4.0,0,maltepe ticaret meslek lisesi,Null,istanbul,meslek lisesi,Null,Null,3.0-4.0,Null,Null,Null
elektrik elektronik,3,0.0-2.5,0,bodrum marmara koleji,Null,mugla,Özel,sayisal,Null,3.0-3.5,Null,Null,Null
isletme bolumu ingilizce,2,2.5-3.0,0,izmir ozel turk koleji,Null,izmir,anadolu lisesi,fen bilimleri,Null,2.5-3.0,Null,Null,Null
biyomedikal muhendisligi,3,2.5-3.0,0,buyuksehir huseyin yildiz anadolu lisesi,Null,istanbul,anadolu lisesi,sayisal,Null,3.0-3.5,Null,Null,Null
kimya muhendisligi,4,3.0-3.5,0,ertugrulgazi anadolu lisesi,Null,erzincan,anadolu lisesi,fen bilimleri,Null,3.0-3.5,Null,Null,Null
endustri muhendisligi,2,2.5-3.0,0,izmir ataturk lisesi,Null,izmir,anadolu lisesi,sayisal,Null,3.0-3.5,Null,Null,Null
"matematik-bilgisayar, yazilim muhendisligicift anadal",3,3.0-4.0,0,van milli piyango anadolu lisesi,Null,van,anadolu lisesi,fen bilimleri,Null,3.0-3.5,Null,Null,Null
bilgisayar muhendisligi,3,0.0-2.5,0,atak koleji,Null,mardin,Özel,sayisal,Null,3.0-4.0,Null,Null,Null
maliye,3,Null,0,ataturk lisesi,Null,sanliurfa,duz lise,Null,Null,3.0-4.0,Null,Null,Null
endustri muhendisligi,4,3.0-4.0,0,ozel yamanlar bedri sasal anadolu lisesi,Null,izmir,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
girisimcilik,hazirlik,Null,0,kucukcekmece anadolu,Null,istanbul,anadolu lisesi,esit agirlik,Null,2.5-3.0,Null,Null,Null
halkla iliskiler - reklamcilik,4,3.0-4.0,0,mudanya sami evkuran anadolu lisesi,Null,bursa,anadolu lisesi,sozel,Null,3.0-4.0,Null,Null,Null
ingilizce ekonomi,2,3.0-3.5,0,izmir anadolu lisesi,Null,izmir,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
ic mimarlik ve cevre tasarimi,1,3.0-4.0,0,emlakbank suleyman demirel lisesi,Null,izmir,duz lise,sozel,Null,2.5-3.0,Null,Null,Null
bilgisayar muhendisligi,3,3.0-4.0,0,vefa poyraz lisesi,Null,istanbul,duz lise,sayisal,Null,3.0-4.0,Null,Null,Null
dis ticaret,mezun,2.5-3.0,0,ayvalik lisesi,Null,balikesir,duz lise,esit agirlik,Null,2.5-3.0,Null,Null,Null
bankacilik ve finans,3,3.0-3.5,0,canakkale anadolu lisesi,Null,canakkale,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
tip fakultesi,2,3.0-3.5,0,istek bilge kagan fen lisesi,Null,istanbul,fen lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
saglik yonetimi,3,3.0-3.5,0,batman fatih lisesi,Null,batman,duz lise,esit agirlik,Null,3.0-4.0,Null,Null,Null
isletme bilgi yonetimi,3,3.0-4.0,0,ibni sina lisesi,Null,ankara,anadolu lisesi,Null,Null,3.0-4.0,Null,Null,Null
elektrik - elektronik muhendisligi,3,2.5-3.0,0,metin - nuran cakallikli anadolu lisesi,Null,antalya,anadolu lisesi,fen bilimleri,Null,3.0-3.5,Null,Null,Null
uluslararasi ticaret ve isletmecilik,2,2.5-3.0,0,prof. dr. mumtaz turhan sosyal bilimler lisesi ib diploma programi,Null,istanbul,anadolu lisesi,Null,Null,3.0-4.0,Null,Null,Null
sigortacilik ve risk yonetimi,2,0.0-2.5,0,cankaya 50.yil lisesi,Null,ankara,duz lise,esit agirlik,Null,3.0-3.5,Null,Null,Null
elektrik ve elektronik muhendisligi,2,3.0-3.5,0,karabuk mehmet vergili fen lisesi,Null,karabuk,fen lisesi,fen bilimleri,Null,3.0-4.0,Null,Null,Null
edebiyat,3,Null,0,necip fazil kisakurek,Null,istanbul,duz lise,sozel,Null,3.0-3.5,Null,Null,Null
uluslararasi girisimcilik,3,2.5-3.0,0,bursa anadolu lisesi,Null,bursa,anadolu lisesi,esit agirlik,Null,3.0-3.5,Null,Null,Null
mekatronik muhendisligi,1,Null,0,acik ogretim lisesi,Null,istanbul,anadolu lisesi,sayisal,Null,3.0-4.0,Null,Null,Null
bilisim sistemleri muhendisligi,2,2.5-3.0,0,melikgazi mustafa eminoglu anadolu lisesi,Null,kayseri,anadolu lisesi,fen bilimleri,Null,2.5-3.0,Null,Null,Null
undecleared,2,0.0-2.5,0,cagaloglu anadolu lisesi,Null,istanbul,anadolu lisesi,Null,Null,3.0-4.0,Null,Null,Null
mekatronik muhendisligi,2,3.0-4.0,0,bornova anadolu lisesi,Null,izmir,anadolu lisesi,sayisal,Null,3.0-3.5,Null,Null,Null
hukuk,2,Null,0,adana anadolu ogretmen lisesi,Null,adana,anadolu lisesi,sayisal,Null,3.0-3.5,Null,Null,Null
bilgisayar muhendisligi,4,0.0-2.5,0,mamak lisesi,Null,ankara,duz lise,sayisal,Null,3.0-4.0,Null,Null,Null
makina muhendisligi,2,3.0-4.0,0,korfez ataturk anadolu lisesi,Null,kocaeli,anadolu lisesi,fen bilimleri,Null,3.0-4.0,Null,Null,Null
yazilim muhendisligi,4,3.0-3.5,1,kagithane ito atml,Null,istanbul,meslek lisesi,Null,Null,3.0-3.5,Null,Null,Null
hukuk,3,3.0-4.0,0,turgutlu anadolu lisesi,Null,Null,anadolu lisesi,esit agirlik,Null,3.0-4.0,Null,Null,Null
endustri muhendisligi,4,0.0-2.5,0,ozel sema koleji,Null,aksaray,duz lise,sayisal,Null,3.0-3.5,Null,Null,Null
kimya muhendisligi,4,2.5-3.0,0,cengelkoy lisesi,Null,istanbul,duz lise,sayisal,Null,3.0-4.0,Null,Null,Null
isletme,4,0.0-2.5,0,izmir turk koleji,Null,izmir,Özel,esit agirlik,Null,2.5-3.0,Null,Null,Null
yazilim muhendisligi,4,0.0-2.5,0,altin nesil anadolu lisesi,Null,Null,anadolu lisesi,Null,Null,3.0-4.0,Null,Null,Null
hemsirelik,1,2.5-3.0,0,necati ozen anadolu lisesi,Null,usak,anadolu lisesi,sayisal,Null,3.0-3.5,Null,Null,Null
bilgisayar muhendisligi,mezun,0.0-2.5,0,paksoy lisesi,Null,adana,duz lise,Null,Null,3.0-4.0,Null,Null,Null
makine muhendisligi %100 ingilizce,4,3.0-4.0,0,Null,istanbul alman lisesi,istanbul,Özel,sayisal,Null,3.5-4.0,1,ileri,Null
tip fakultesi,3,2.5-3.0,0,sehit ali ihsan kalmaz anadolu lisesi,sehzade mehmet koleji,manisa,anadolu lisesi,sayisal,Null,3.5-4.0,1,ileri,Null
kamu yonetimi / siyaset bilimi ve uluslararasi iliskiler/ gazetecilik,4,3.0-4.0,1,Null,mugla anadolu ogretmen lisesi,mugla,anadolu lisesi,esit agirlik,Null,3.5-4.0,1,ileri,Null
turizm ve otel isletmeciligi,2,3.0-3.5,0,levent aydin anadolu lisesi,Null,antalya,anadolu lisesi,sayisal,Null,3.5-4.0,1,ileri,Null
uluslararasi ticaret ve lojistik,3,3.0-3.5,0,Null,imkb anadalo lisesi,batman,anadolu lisesi,esit agirlik,Null,3.0-3.5,1,orta,Null
endustri muhendisligi,2,3.0-4.0,0,koc ozel lisesi,Null,istanbul,Özel,sayisal,Null,3.5-4.0,1,ileri,Null
bilgisayar muhendisligi,4,0.0-2.5,0,Null,orta dogu teknik universitesi koleji,ankara,Özel,sayisal,Null,3.5-4.0,1,ileri,Null
uluslararasi iliskiler,2,3.0-4.0,0,izmir ataturk lisesi,Null,izmir,anadolu lisesi,esit agirlik,Null,3.5-4.0,1,ileri,Null
hukuk,2,3.0-4.0,0,aydin lisesi,Null,aydin,anadolu lisesi,esit agirlik,Null,3.5-4.0,1,ileri,Null
hukuk,2,3.0-4.0,0,aydin lisesi,Null,aydin,anadolu lisesi,esit agirlik,Null,3.5-4.0,1,ileri,Null
endustri muhendisligi,4,3.0-4.0,0,besiktas ataturk anadolu lisesi,Null,istanbul,anadolu lisesi,sayisal,Null,3.0-3.5,1,ileri,Null
tip,4,3.0-4.0,0,canakkale fen lisesi,Null,canakkale,fen lisesi,sayisal,Null,3.5-4.0,1,ileri,Null
hukuk,3,2.5-3.0,0,izmir fen lisesi,Null,izmir,fen lisesi,sayisal,Null,3.5-4.0,1,orta,Null
matematik,3,2.5-3.0,0,Null,diltas anadolu lisesi,konya,anadolu lisesi,sayisal,Null,3.5-4.0,1,ileri,Null
bilgisayar muhendisligi,4,2.5-3.0,0,Null,bafra anadolu lisesi,samsun,anadolu lisesi,sayisal,Null,3.5-4.0,1,orta,Null
isletme,2,3.0-4.0,0,Null,karsiyaka necip demir ticaret meslek lisesi,izmir,meslek lisesi,esit agirlik,Null,3.5-4.0,1,ileri,Null
isletme / endustri muhendisligi cap,4,3.0-3.5,0,ted istanbul koleji,Null,istanbul,Özel,sayisal,Null,3.5-4.0,1,ileri,Null
endustri muhendisligi,3,2.5-3.0,0,Null,selehaddin-i eyyubi anadolu lisesi,diyarbakir,anadolu lisesi,sayisal,Null,2.5-3.0,0,Null,Null
siyaset bilimi ve kamu yonetimi%100 yok burslu-%100 ingilizce,1,3.0-4.0,0,cumhuriyet anadolu lisesi,iskenderun cumhuriyet anadolu lisesi,hatay,anadolu lisesi,sayisal,Null,3.5-4.0,1,ileri,Null
endustri muhendisligi,2,0.0-2.5,0,adana fen lisesi,Null,adana,fen lisesi,sayisal,Null,3.5-4.0,1,orta,Null
iktisatingilizce ve hukukcap / istanbul universitesi sosyoloji acik ve uzaktan egitim fakultesi,4,3.0-3.5,0,Null,fatih kiz lisesi,istanbul,duz lise,esit agirlik,Null,3.0-3.5,1,orta,Null
endustri muhendisligi,4,0.0-2.5,0,Null,kirkkonaklar anadolu lisesi,ankara,anadolu lisesi,sayisal,Null,3.5-4.0,1,ileri,Null
biyomedikal muhendisligi,2,2.5-3.0,0,gaziantep anadolu lisesi,Null,gaziantep,anadolu lisesi,sayisal,Null,3.0-3.5,1,ileri,Null
isletme anadal bolumu 4. sinif - endustri muhendisligi cift anadal bolumu 3. sinif,4,3.0-4.0,0,yalova fatih sultan mehmet lisesi,Null,yalova,duz lise,esit agirlik,Null,3.5-4.0,1,orta,Null
endustri muhendisligi,2,3.0-4.0,0,Null,capa anadolu ogretmen lisesi,istanbul,anadolu lisesi,sayisal,Null,3.5-4.0,1,ileri,Null
isletme,3,3.0-4.0,0,bornova anadolu lisesi,Null,izmir,anadolu lisesi,sayisal,Null,3.0-3.5,1,ileri,Null
endustri muhendisligi,3,3.0-4.0,0,samsun ataturk anadolu lisesi,Null,samsun,anadolu lisesi,sayisal,Null,3.5-4.0,1,ileri,Null
halkla iliskiler ve reklamcilik,2,2.5-3.0,0,Null,kirimli ismail rustu olcay anadolu lisesi,istanbul,anadolu lisesi,sozel,Null,3.0-3.5,1,ileri,Null
endustri muhendisligi,2,3.0-4.0,0,kastamonu fen lisesi,Null,kastamonu,fen lisesi,sayisal,Null,3.5-4.0,1,ileri,Null
hukuk fakultesi,4,2.5-3.0,0,kadriye calik anadolu lisesi,Null,Null,anadolu lisesi,sayisal,Null,3.0-3.5,1,orta,Null
elektrik-elektronik muhendisligi,3,2.5-3.0,0,cankiri suleyman demirel fen lisesi,Null,cankiri,fen lisesi,sayisal,Null,3.5-4.0,1,ileri,Null
isletme,4,3.0-3.5,0,Null,altinbasak lisesi,isparta,Özel,esit agirlik,Null,3.5-4.0,1,ileri,Null
yonetim bilimleri programlari,4,3.0-4.0,0,Null,bozuyuk anadolu ogretmen lisesi,bilecik,anadolu lisesi,esit agirlik,Null,3.5-4.0,1,Null,Null
uluslararasi isletmecilik ve ticaret,2,3.0-4.0,0,corlu imkb anadolu ogretmen lisesi,Null,tekirdag,anadolu lisesi,sayisal,Null,3.5-4.0,1,ileri,Null
bilgisayar muhendisligi,2,3.0-4.0,0,umraniye anadolu lisesi,Null,istanbul,anadolu lisesi,sayisal,Null,3.0-3.5,1,ileri,Null
yonetim bilisim sistemleri mis,1,Null,0,Null,habire yahsi anadolu lisesi,istanbul,anadolu lisesi,esit agirlik,Null,3.0-3.5,1,ileri,Null
business administration,2,3.0-4.0,0,Null,denizli nevzat karalp anadolu lisesi,denizli,anadolu lisesi,esit agirlik,Null,3.5-4.0,1,ileri,Null
yonetim bilimleri programi,1,3.0-3.5,0,Null,ozel erkul tunagur fen lisesi,kocaeli,Özel,sayisal,ozel fen lisesi,3.5-4.0,1,ileri,Null
isletme,3,3.0-3.5,0,yusuf kalkavan anadolu lisesi,Null,mersin,anadolu lisesi,esit agirlik,Null,3.5-4.0,1,ileri,Null
insaat muhendisligi,2,3.0-4.0,0,Null,haci malike mehmet bileydi anadolu lisesi,antalya,anadolu lisesi,sayisal,Null,3.5-4.0,1,ileri,Null
business administration,2,3.0-4.0,0,ankara ataturk anadolu lisesi,Null,ankara,anadolu lisesi,esit agirlik,Null,3.5-4.0,1,ileri,Null
"psikoloji, saglik yonetimi",4,3.0-3.5,0,balikesir cumhuriyet anadolu lisesi,Null,balikesir,anadolu lisesi,esit agirlik,Null,3.5-4.0,1,orta,Null
psikoloji,3,3.0-3.5,0,Null,bagcilar lisesi,istanbul,duz lise,sozel,Null,3.5-4.0,1,ileri,Null
hukuk,4,3.0-3.5,0,ankara mehmet kaplan sosyal bilimler lisesi,Null,ankara,fen lisesi,esit agirlik,sosyal bilimleri lisesi secenegi koymadiginiz icin fen lisesi sekmesini isaretledim.,3.5-4.0,1,ileri,Null
elektrik-elektronik muhendisligi,1,3.0-3.5,0,Null,izmir ozel fatih fen lisesi,izmir,Özel,sayisal,Null,3.5-4.0,1,ileri,Null
cevre muhendisligi ingilizce,3,3.0-3.5,0,konya karatay anadolu lisesi,selcuklu osman nuri hekimoglu anadolu lisesi,konya,anadolu lisesi,sayisal,Null,3.5-4.0,1,orta,Null
isletme - uluslararasi ticaret ve lojistik yonetimi cap,4,3.0-4.0,0,75. yil anadolu lisesi,Null,adana,anadolu lisesi,esit agirlik,Null,3.0-3.5,0,Null,Null
uluslararasi ticaret ve finansman,2,3.0-3.5,0,metin nuran cakallikli anadolu lisesi,Null,antalya,anadolu lisesi,esit agirlik,Null,3.5-4.0,1,ileri,Null
ekonomi,2,3.0-3.5,0,Null,gulser-mehmet bolluk anadolu lisesi,balikesir,anadolu lisesi,esit agirlik,Null,3.5-4.0,1,ileri,Null
endustri muhendisligi,2,3.0-3.5,0,ankara ataturk anadolu lisesi,Null,ankara,anadolu lisesi,sayisal,Null,3.0-3.5,1,ileri,Null
isletmeingilizce,2,3.0-3.5,0,antalya lisesi,Null,antalya,anadolu lisesi,esit agirlik,Null,3.0-3.5,1,ileri,Null
tip fakultesi,3,3.0-3.5,0,Null,ozel sanko koleji,gaziantep,Özel,sayisal,Null,3.5-4.0,1,ileri,Null
bilgisayar muhendisligi,3,3.0-3.5,0,Null,rekabet kurumu bayburt anadolu ogretmen lisesi,bayburt,anadolu lisesi,sayisal,Null,3.0-3.5,1,ileri,Null
endustri ve sistem muhendisligi,4,2.5-3.0,0,Null,ulubatli hasan anadolu lisesi,bursa,anadolu lisesi,sayisal,Null,3.5-4.0,0,Null,Null
isletme %100 ing.,4,3.0-3.5,0,Null,manisa salihli sekine evren anadolu lisesi,manisa,anadolu lisesi,esit agirlik,Null,3.5-4.0,1,ileri,Null
hukuk fakultesi,2,3.0-3.5,0,Null,bilkent erzurum laboratuvar lisesi,erzurum,Özel,sayisal,Null,3.5-4.0,1,ileri,Null
ekonomi,2,3.0-4.0,0,Null,fetih anadolu lisesi,istanbul,anadolu lisesi,esit agirlik,Null,3.5-4.0,1,ileri,Null
ekonomi,2,0.0-2.5,0,bursa gazi anadolu lisesi,Null,bursa,anadolu lisesi,esit agirlik,Null,3.5-4.0,1,ileri,Null
yonetim bilimleri,2,3.0-3.5,0,cumhuriyet anadolu lisesi,Null,istanbul,anadolu lisesi,esit agirlik,Null,3.5-4.0,0,Null,Null
hukuk,3,3.0-3.5,0,ortaklar anadolu ogretmen lisesi,Null,aydin,anadolu lisesi,sayisal,Null,3.5-4.0,1,orta,Null
psikoloji,3,3.0-3.5,0,Null,ozel derya oncu anadolu lisesi,istanbul,anadolu lisesi,esit agirlik,Null,3.0-3.5,1,ileri,Null
hemsirelik,3,2.5-3.0,0,Null,diyarbakir anadolu imam hatip lisesi,diyarbakir,imam hatip lisesi,sayisal,Null,2.5-3.0,1,baslangic,Null
elektrik ve elektronik muhendisligi ingilizce,1,3.0-4.0,0,Null,melikgazi mustafa eminoglu anadolu lisesi,kayseri,anadolu lisesi,sayisal,Null,3.5-4.0,1,ileri,Null
tarih,3,0.0-2.5,0,Null,urla hakan ceken anadolu lisesi,izmir,anadolu lisesi,esit agirlik,Null,3.5-4.0,1,ileri,Null
beslenme ve diyetetik,1,Null,0,Null,ozel doga koleji,mersin,Özel,sayisal,Null,3.5-4.0,1,ileri,Null
tip,2,2.5-3.0,0,ceas anadolu lisesi,Null,adana,anadolu lisesi,sayisal,Null,3.5-4.0,1,orta,Null
insaat muhendisligi,4,3.0-4.0,0,Null,nazilli menderes anadolu lisesi,aydin,anadolu lisesi,sayisal,Null,3.5-4.0,1,ileri,Null
gorsel iletisim tasarimi,3,3.0-4.0,0,Null,uskudar mithatpasa kiz teknik meslek lisesi,istanbul,meslek lisesi,Null,grafik ve fotograf,3.5-4.0,0,Null,Null
endustri muhendisligi,1,2.5-3.0,0,Null,melahat aksoy anadolu ogretmen lisesi,izmir,anadolu lisesi,sayisal,Null,3.5-4.0,1,ileri,Null
bilgisayar muhendisligi,3,2.5-3.0,0,besiktas ataturk anadolu lisesi,Null,istanbul,anadolu lisesi,sayisal,Null,3.5-4.0,1,Null,Null
uluslararasi ticaret,1,Null,0,Null,Açık Öğretim,adana,duz lise,sayisal,Null,2.5-3.0,1,orta,Null
tarih,4,0.0-2.5,0,Null,akcakoca lisesi,duzce,duz lise,sozel,Null,3.5-4.0,1,orta,Null
hukuk,1,3.0-3.5,0,galatasaray lisesi,Null,istanbul,anadolu lisesi,sayisal,Null,3.0-3.5,1,ileri,Null
istatistik,4,3.0-3.5,0,Null,behcet canbaz anadolu lisesi,istanbul,anadolu lisesi,sayisal,Null,3.0-3.5,1,ileri,Null
ekonomi ve finans / siyasal bilimler ciftanadal,2,3.0-4.0,0,van anadolu ogretmen lisesi,yuksekova lisesi,hakkari,duz lise,esit agirlik,Null,3.0-3.5,1,baslangic,Null
isletme,3,3.0-3.5,0,Null,ozel ankara caglayan fen lisesi,ankara,Özel,sayisal,Null,3.5-4.0,1,ileri,Null
girisimcilik,2,2.5-3.0,0,Null,aydin sosyal bilimler lisesi,aydin,anadolu lisesi,esit agirlik,Null,3.5-4.0,1,ileri,Null
hemsirelik,4,3.0-3.5,0,Null,kilis nedim okmen anadolu ogretmen lisesi,kilis,anadolu lisesi,sayisal,Null,3.5-4.0,1,orta,Null
sanat tasarim fakultesi / tekstil ve moda tasarimi,2,2.5-3.0,0,Null,sehit mehmet gonenc lisesi,balikesir,anadolu lisesi,esit agirlik,Null,3.0-3.5,1,Null,Null
isletme muhendisligi,1,3.0-3.5,0,ataturk lisesi,immib erkan avci mesleki ve teknik anadolu lisesi,istanbul,meslek lisesi,sayisal,bilisim teknolojileri,3.0-3.5,0,Null,Null
istatistik,3,3.0-3.5,0,pinarhisar anadolu lisesi,Null,kirklareli,anadolu lisesi,sayisal,Null,3.5-4.0,1,orta,Null
mimarlik,4,3.0-3.5,0,Null,ayten kemal akinal anadolu lisesi,gaziantep,anadolu lisesi,sayisal,Null,3.5-4.0,1,ileri,Null
hukuk,2,2.5-3.0,0,mehmet adnan ozcelik anadolu lisesi,Null,mersin,anadolu lisesi,esit agirlik,Null,3.5-4.0,1,orta,Null
endustri muhendisligi,4,2.5-3.0,0,gazi anadolu lisesi,Null,ankara,anadolu lisesi,sayisal,Null,3.5-4.0,1,orta,Null
endustri muhendisligi,4,2.5-3.0,0,Null,kirklareli fen lisesi,kirklareli,fen lisesi,sayisal,Null,3.0-3.5,1,orta,Null
muhendislik ve doga bilimleri,1,3.0-4.0,0,Null,iskenderun toscelik fen lisesi,hatay,fen lisesi,sayisal,Null,3.5-4.0,1,ileri,Null
endustri muhendisligi,3,2.5-3.0,0,Null,manavgat anadolu lisesi,antalya,anadolu lisesi,sayisal,Null,3.5-4.0,1,ileri,Null
mimarlik ing,2,3.0-3.5,0,aydin suleyman demirel anadolu lisesi,Null,aydin,anadolu lisesi,sayisal,Null,3.5-4.0,1,orta,Null
psikoloji,2,3.0-3.5,0,bursa kiz lisesi,Null,bursa,anadolu lisesi,esit agirlik,mezuniyet notu:80,3.5-4.0,1,orta,Null
"kimya-biyoloji muhendisligi, endustri muhendisligi cift anadal",4,2.5-3.0,0,Null,bahcesehir koleji,istanbul,fen lisesi,sayisal,Null,3.5-4.0,1,ileri,Null
malzeme bilimi ve muhendisligi,1,2.5-3.0,0,manavgat kemer fatma turgut sen anadolu lisesi,Null,antalya,anadolu lisesi,sayisal,Null,3.0-3.5,1,ileri,Null
