Bölüm,Universite Kacinci Sinif,Universite Not Ortalamasi,Daha Once Baska Bir Universiteden Mezun Olmus,"Daha Önceden Mezun Olunduysa, Mezun Olunan Üniversite"
endustri muhendisligi,2,3.00 - 3.50,,
endustri muhendisligi,3,3.00 - 3.50,,
ekonomi,1,Hazirlik,,
endustri muhendisligi,2,3.00 - 3.50,,
elektrik-elektronik muhendisligi,2,2.50 - 3.00,,
yonetim bilimleri,4,3.00 - 3.50,,
ingiliz dili ve edebiyati,4,2.50 - 3.00,,
siyaset bilimi ve uluslararasi iliskiler,4,0.00 - 2.50,,
matematik,4,3.00 - 3.50,,
kontrol ve otomasyon muhendisligi,4,2.50 - 3.00,,
kimya,2,2.50 - 3.00,,
diger,1,Hazirlik,,
peyzaj mimarligi,4,3.00 - 3.50,,
bilgisayar muhendisligi,2,2.50 - 3.00,,
kimya,3,2.50 - 3.00,,
basim teknolojileri,2,2.50 - 3.00,,
kimya,2,2.50 - 3.00,,
acil yardim ve afet yonetimi,2,3.00 - 3.50,,
dis hekimligi,2,3.00 - 3.50,,
havacilik ve uzay muhendisligi,1,Hazirlik,,
maliye,2,2.50 - 3.00,,
makine muhendisligi,3,3.00 - 3.50,,
tip,2,3.00 - 3.50,,
finans ve bankacilik,2,2.50 - 3.00,,
maliye,4,2.50 - 3.00,,
ingiliz dili ve edebiyati,1,Hazirlik,,
tip,2,3.50 - 4.00,,
makine muhendisligi,hazirlik,Hazirlik,,
ilahiyat,1,3.50 - 4.00,,
hemsirelik ve saglik hizmetleri,4,3.00 - 3.50,,
beden egitimi ve spor ogretmenligi,2,3.00 - 3.50,,
uluslararasi iliskiler,3,3.50 - 4.00,,
hemsirelik,4,2.50 - 3.00,,
islami ilimler,3,2.50 - 3.00,,
tip,1,2.50 - 3.00,,
diger,2,2.50 - 3.00,,
matematik,2,0.00 - 2.50,,
maliye,3,2.50 - 3.00,,
isletme,3,2.50 - 3.00,,
makine muhendisligi,1,Hazirlik,,
arap dili ve edebiyati,3,3.50 - 4.00,,
siyaset bilimi ve uluslararasi iliskiler,4,2.50 - 3.00,,
isletme yonetimi,2,0.00 - 2.50,,
psikoloji,3,3.00 - 3.50,,
turk dili ve edebiyati,2,2.50 - 3.00,,
basin ve yayin,2,2.50 - 3.00,,
beden egitimi ve spor ogretmenligi,5,2.50 - 3.00,,
uluslararasi iliskiler,4,3.50 - 4.00,,
ilahiyat,4,2.50 - 3.00,,
uluslararasi iliskiler,4,3.00 - 3.50,,
isletme,1,Hazirlik,,
veteriner,3,2.50 - 3.00,,
insaat muhendisligi,1,Hazirlik,,
radyo ve televizyon,2,2.50 - 3.00,,
tip,5,3.00 - 3.50,,
halkla iliskiler ve reklamcilik,4,2.50 - 3.00,,
yonetim bilisim sistemleri,4,2.50 - 3.00,,
sosyoloji,4,3.50 - 4.00,,
diger,3,3.00 - 3.50,,
endustri muhendisligi,3,0.00 - 2.50,,
bilgisayar muhendisligi,1,Hazirlik,,
bilgisayar muhendisligi,2,2.50 - 3.00,,
endustri ve sistem muhendisligi,3,2.50 - 3.00,,
pazarlama,2,3.50 - 4.00,,
makine muhendisligi,1,Hazirlik,,
hemsirelik,2,2.50 - 3.00,,
tip,2,3.00 - 3.50,,
endustri muhendisligi,2,0.00 - 2.50,,
ekonometri,2,2.50 - 3.00,,
isletme,1,Hazirlik,,
sosyal hizmet,2,2.50 - 3.00,,
ebelik,2,2.50 - 3.00,,
ingilizce mutercim ve tercumanlik,2,3.00 - 3.50,,
yonetim bilisim sistemleri,2,2.50 - 3.00,,
diger,hazirlik,Hazirlik,,
tip,2,3.00 - 3.50,,
mekatronik muhendisligi,4,2.50 - 3.00,,
ilahiyat,2,2.50 - 3.00,,
tip,5,3.00 - 3.50,,
molekuler biyoloji ve genetik,2,2.50 - 3.00,,
psikoloji,4,2.50 - 3.00,,
isletme,5,2.50 - 3.00,,
tip,3,2.50 - 3.00,,
lojistik yonetimi,4,2.50 - 3.00,,
grafik tasarimi,2,0.00 - 2.50,,
bilgisayar muhendisligi,2,3.50 - 4.00,,
diger,2,2.50 - 3.00,,
isletme,4,2.50 - 3.00,,
tarim ekonomisi,1,Hazirlik,,
iktisat,2,2.50 - 3.00,,
beden egitimi ve spor ogretmenligi,3,2.50 - 3.00,,
elektrik-elektronik muhendisligi,3,3.00 - 3.50,,
diger,1,Hazirlik,,
siyaset bilimi ve kamu yonetimi,4,2.50 - 3.00,,
lojistik yonetimi,3,0.00 - 2.50,,
hemsirelik,2,2.50 - 3.00,,
endustri muhendisligi,4,3.00 - 3.50,,
mimarlik,4,2.50 - 3.00,,
endustri muhendisligi,1,Hazirlik,,
hemsirelik,3,3.50 - 4.00,,
saglik yonetimi,3,2.50 - 3.00,,
tip,3,3.00 - 3.50,,
bilgisayar muhendisligi,2,3.00 - 3.50,,
ilkogretim matematik ogretmenligi,2,2.50 - 3.00,,
ekonomi,4,3.00 - 3.50,,
jeoloji muhendisligi,2,0.00 - 2.50,,
biyomuhendislik,1,Hazirlik,,
okul oncesi ogretmenligi,2,3.00 - 3.50,,
elektrik-elektronik muhendisligi,1,Hazirlik,,
makine muhendisligi,2,2.50 - 3.00,,
iktisat,4,0.00 - 2.50,,
psikoloji,3,3.50 - 4.00,,
biyomuhendislik,4,2.50 - 3.00,,
cevre muhendisligi,3,2.50 - 3.00,,
iktisat,5,2.50 - 3.00,,
makine muhendisligi,3,2.50 - 3.00,,
molekuler biyoloji ve genetik,3,2.50 - 3.00,,
uluslararasi ticaret ve finans,4,2.50 - 3.00,,
hemsirelik,3,2.50 - 3.00,,
ilkogretim matematik ogretmenligi,2,3.00 - 3.50,,
tip,3,3.00 - 3.50,,
endustri muhendisligi,1,Hazirlik,,
iktisat,3,0.00 - 2.50,,
sanat tarihi,3,0.00 - 2.50,,
gorsel iletisim tasarimi,2,0.00 - 2.50,,
bilgisayar muhendisligi,3,3.00 - 3.50,,
endustri muhendisligi,3,3.50 - 4.00,,
hukuk,2,3.00 - 3.50,,
endustri muhendisligi,4,2.50 - 3.00,,
molekuler biyoloji ve genetik,4,2.50 - 3.00,,
hukuk,2,3.00 - 3.50,,
sehir ve bolge planlama,4,3.50 - 4.00,,
hukuk,4,2.50 - 3.00,,
sosyal hizmet,2,2.50 - 3.00,,
kore dili ve edebiyati,2,3.50 - 4.00,,
endustri muhendisligi,3,2.50 - 3.00,,
molekuler biyoloji ve genetik,2,0.00 - 2.50,,
fizyoterapi ve rehabilitasyon,3,2.50 - 3.00,,
otomotiv muhendisligi,2,2.50 - 3.00,,
eczacilik,3,3.00 - 3.50,,
uluslararasi iliskiler,4,3.00 - 3.50,,
uluslararasi ticaret ve isletmecilik,4,2.50 - 3.00,,
tekstil muhendisligi,3,2.50 - 3.00,,
endustri muhendisligi,2,3.00 - 3.50,,
yazilim muhendisligi,4,2.50 - 3.00,,
endustri muhendisligi,2,2.50 - 3.00,,
elektronik ve haberlesme muhendisligi,2,3.00 - 3.50,,
endustri muhendisligi,3,2.50 - 3.00,,
endustri muhendisligi,3,0.00 - 2.50,,
hukuk,4,2.50 - 3.00,,
ekonomi,3,2.50 - 3.00,,
hukuk,4,2.50 - 3.00,,
makine muhendisligi,3,3.00 - 3.50,,
siyaset bilimi ve uluslararasi iliskiler,3,2.50 - 3.00,,
psikoloji,4,3.00 - 3.50,,
lojistik yonetimi,4,2.50 - 3.00,,
eczacilik,5,2.50 - 3.00,,
antrenorluk,4,3.50 - 4.00,,
"hali, kilim ve eski kumas desenleri",4,3.50 - 4.00,,
isletme,2,2.50 - 3.00,,
iktisat,2,3.00 - 3.50,,
bilgisayar muhendisligi,2,3.00 - 3.50,,
diger,2,2.50 - 3.00,,
ilkogretim matematik ogretmenligi,2,2.50 - 3.00,,
dis hekimligi,3,3.50 - 4.00,,
psikoloji,1,Hazirlik,,
mekatronik muhendisligi,3,2.50 - 3.00,,
ozel egitim ogretmenligi,3,2.50 - 3.00,,
isletme muhendisligi,4,3.00 - 3.50,,
dis hekimligi,4,3.00 - 3.50,,
isletme,2,2.50 - 3.00,,
makine muhendisligi,2,2.50 - 3.00,,
ic mimarlik ve cevre tasarimi,4,3.50 - 4.00,,
bilgisayar muhendisligi,3,3.00 - 3.50,,
endustri muhendisligi,2,2.50 - 3.00,,
ekonomi,1,Hazirlik,,
havacilik ve uzay muhendisligi,2,3.00 - 3.50,,
diger,2,0.00 - 2.50,,
mimarlik,2,3.00 - 3.50,,
istatistik,3,3.50 - 4.00,,
endustriyel tasarim,5,3.00 - 3.50,,
hukuk,3,3.00 - 3.50,,
istatistik,4,2.50 - 3.00,,
bilgisayar muhendisligi,4,2.50 - 3.00,,
iktisat,4,3.00 - 3.50,,
bilgisayar muhendisligi,3,0.00 - 2.50,,
rehberlik ve psikolojik danismanlik,4,3.00 - 3.50,,
ekonomi,1,Hazirlik,,
uluslararasi ticaret ve lojistik,2,0.00 - 2.50,,
isletme,1,Hazirlik,,
biyomedikal muhendisligi,4,2.50 - 3.00,,
tarih,3,2.50 - 3.00,,
havacilik ve uzay muhendisligi,2,2.50 - 3.00,,
ekonomi,3,3.50 - 4.00,,
endustri muhendisligi,3,2.50 - 3.00,,
hukuk,1,Hazirlik,,
kimya muhendisligi,4,3.50 - 4.00,,
endustri muhendisligi,3,0.00 - 2.50,,
hukuk,4,2.50 - 3.00,,
elektrik-elektronik muhendisligi,4,0.00 - 2.50,,
istatistik,1,Hazirlik,,
tarih,4,2.50 - 3.00,,
endustri muhendisligi,3,3.00 - 3.50,,
hukuk,2,2.50 - 3.00,,
uluslararasi ticaret ve isletmecilik,1,Hazirlik,,
endustri muhendisligi,2,0.00 - 2.50,,
elektrik-elektronik muhendisligi,4,2.50 - 3.00,,
sehir ve bolge planlama,4,3.50 - 4.00,,
iktisat,4,2.50 - 3.00,,
gida muhendisligi,2,2.50 - 3.00,,
ekonomi,2,3.50 - 4.00,,
jeoloji muhendisligi,4,2.50 - 3.00,,
genetik ve biyomuhendislik,3,0.00 - 2.50,,
elektrik-elektronik muhendisligi,3,0.00 - 2.50,,
diger,1,Hazirlik,,
denizcilik isletmeleri yonetimi,3,2.50 - 3.00,,
isletme,1,Hazirlik,,
cocuk gelisimi,2,3.50 - 4.00,,
cocuk gelisimi,1,2.50 - 3.00,,
hemsirelik,3,2.50 - 3.00,,
turizm rehberligi,3,0.00 - 2.50,,
diger,2,0.00 - 2.50,,
isletme,2,2.50 - 3.00,,
kimya muhendisligi,1,Hazirlik,,
bilgisayar muhendisligi,1,Hazirlik,,
yonetim bilisim sistemleri,4,3.00 - 3.50,,
insaat muhendisligi,2,0.00 - 2.50,,
bilgisayar muhendisligi,1,Hazirlik,,
halkla iliskiler ve tanitim,2,0.00 - 2.50,,
kimya muhendisligi,1,Hazirlik,,
ic mimarlik,4,3.50 - 4.00,,
odyoloji,2,3.00 - 3.50,,
ingiliz dili ve edebiyati,3,0.00 - 2.50,,
siyaset bilimi ve uluslararasi iliskiler,3,2.50 - 3.00,,
matematik,3,2.50 - 3.00,,
orman muhendisligi,2,0.00 - 2.50,,
insaat muhendisligi,3,2.50 - 3.00,,
odyoloji,2,0.00 - 2.50,,
psikoloji,4,3.00 - 3.50,,
isletme,4,3.00 - 3.50,,
tip,5,2.50 - 3.00,,
gazetecilik,3,2.50 - 3.00,,
makine muhendisligi,3,3.00 - 3.50,,
siyaset bilimi ve kamu yonetimi,4,2.50 - 3.00,,
hukuk,2,3.00 - 3.50,,
bilgisayar muhendisligi,2,2.50 - 3.00,,
elektrik-elektronik muhendisligi,2,2.50 - 3.00,,
siyaset bilimi ve uluslararasi iliskiler,3,0.00 - 2.50,,
kimya muhendisligi,1,Hazirlik,,
bilgisayar muhendisligi,4,3.50 - 4.00,,
"radyo,televizyon ve sinema",2,3.00 - 3.50,,
turk dili ve edebiyati,3,2.50 - 3.00,,
saglik yonetimi,1,Hazirlik,,
isletme,3,0.00 - 2.50,,
hukuk,2,3.00 - 3.50,,
fizyoterapi ve rehabilitasyon,2,2.50 - 3.00,,
sosyal hizmet,2,2.50 - 3.00,,
makine muhendisligi,1,Hazirlik,,
diger,1,0.00 - 2.50,,
hukuk,3,2.50 - 3.00,,
tip,1,Hazirlik,,
endustri muhendisligi,5,0.00 - 2.50,,
sehir ve bolge planlama,1,Hazirlik,,
diger,4,3.00 - 3.50,,
bilgisayar muhendisligi,4,2.50 - 3.00,,
matematik,2,0.00 - 2.50,,
endustri muhendisligi,4,2.50 - 3.00,,
gorsel sanatlar,3,2.50 - 3.00,,
okul oncesi ogretmenligi,2,2.50 - 3.00,,
eczacilik,2,0.00 - 2.50,,
sinif ogretmenligi,4,3.00 - 3.50,,
endustri muhendisligi,4,3.00 - 3.50,,
bilgisayar muhendisligi,2,3.00 - 3.50,,
insaat muhendisligi,4,2.50 - 3.00,,
siyaset bilimi ve kamu yonetimi,4,2.50 - 3.00,,
isletme,3,0.00 - 2.50,,
bilgisayar muhendisligi,3,2.50 - 3.00,,
acil yardim ve afet yonetimi,4,2.50 - 3.00,,
matematik ogretmenligi,1,0.00 - 2.50,,
siyaset bilimi ve kamu yonetimi,4,3.00 - 3.50,,
isletme,3,2.50 - 3.00,,
endustri muhendisligi,2,2.50 - 3.00,,
elektrik-elektronik muhendisligi,4,2.50 - 3.00,,
cevre muhendisligi,4,2.50 - 3.00,,
iktisat,4,2.50 - 3.00,,
turk dili ve edebiyati,2,0.00 - 2.50,,
ilkogretim matematik ogretmenligi,3,3.00 - 3.50,,
endustri muhendisligi,3,2.50 - 3.00,,
makine muhendisligi,2,0.00 - 2.50,,
sosyoloji,5,2.50 - 3.00,,
insaat muhendisligi,4,0.00 - 2.50,,
ic mimarlik ve cevre tasarimi,3,3.00 - 3.50,,
antrenorluk,3,2.50 - 3.00,,
ilkogretim matematik ogretmenligi,2,3.00 - 3.50,,
insaat muhendisligi,2,0.00 - 2.50,,
ekonomi ve finans,2,2.50 - 3.00,,
elektrik-elektronik muhendisligi,3,0.00 - 2.50,,
dis hekimligi,2,2.50 - 3.00,,
hemsirelik,4,3.00 - 3.50,,
psikoloji,4,2.50 - 3.00,,
matematik,3,3.00 - 3.50,,
istatistik,3,2.50 - 3.00,,
havacilik yonetimi,3,2.50 - 3.00,,
bilgisayar muhendisligi,2,2.50 - 3.00,,
endustri muhendisligi,3,0.00 - 2.50,,
iktisat,1,Hazirlik,,
elektrik-elektronik muhendisligi,2,2.50 - 3.00,,
endustri muhendisligi,4,2.50 - 3.00,,
hemsirelik ve saglik hizmetleri,3,3.00 - 3.50,,
tip,3,2.50 - 3.00,,
kimya,3,2.50 - 3.00,,
iktisat,4,0.00 - 2.50,,
hukuk,4,2.50 - 3.00,,
siyaset bilimi ve kamu yonetimi,3,3.00 - 3.50,,
siyaset bilimi ve uluslararasi iliskiler,3,2.50 - 3.00,,
bilgisayar muhendisligi,3,2.50 - 3.00,,
isletme,2,2.50 - 3.00,,
ilkogretim matematik ogretmenligi,2,2.50 - 3.00,,
kimya,2,0.00 - 2.50,,
bilgisayar muhendisligi,1,Hazirlik,,
molekuler biyoteknoloji,3,2.50 - 3.00,,
iletisim ve tasarimi,3,3.50 - 4.00,,
bilgisayar muhendisligi,4,2.50 - 3.00,,
siyaset bilimi ve kamu yonetimi,2,0.00 - 2.50,,
psikoloji,2,2.50 - 3.00,,
elektronik ve haberlesme muhendisligi,2,3.00 - 3.50,,
endustriyel tasarim,2,0.00 - 2.50,,
sosyoloji,3,2.50 - 3.00,,
bilgisayar muhendisligi,2,3.50 - 4.00,,
molekuler biyoloji ve genetik,3,3.00 - 3.50,,
iktisat,4,2.50 - 3.00,,
bilgisayar ve ogretim teknolojileri ogretmenligi,2,3.50 - 4.00,,
elektrik-elektronik muhendisligi,4,2.50 - 3.00,,
ilahiyat,5,3.00 - 3.50,,
iktisat,4,2.50 - 3.00,,
uluslararasi ticaret ve lojistik,4,0.00 - 2.50,,
maliye,4,0.00 - 2.50,,
hukuk,3,3.00 - 3.50,,
ilkogretim matematik ogretmenligi,3,2.50 - 3.00,,
bilgisayar muhendisligi,3,2.50 - 3.00,,
tip,2,2.50 - 3.00,,
makine muhendisligi,4,2.50 - 3.00,,
eczacilik,5,2.50 - 3.00,,
bilgisayar muhendisligi,4,0.00 - 2.50,,
iktisat,4,2.50 - 3.00,,
isletme,3,2.50 - 3.00,,
mekatronik muhendisligi,2,0.00 - 2.50,,
isletme,3,2.50 - 3.00,,
cocuk gelisimi,4,3.00 - 3.50,,
siyaset bilimi ve uluslararasi iliskiler,4,3.50 - 4.00,,
endustri muhendisligi,1,0.00 - 2.50,,
hukuk,1,Hazirlik,,
molekuler biyoteknoloji,3,0.00 - 2.50,,
siyaset bilimi ve uluslararasi iliskiler,3,2.50 - 3.00,,
psikoloji,4,3.50 - 4.00,,
uluslararasi ticaret ve isletmecilik,4,0.00 - 2.50,,
uluslararasi girisimcilik,4,2.50 - 3.00,,
ingilizce ogretmenligi,3,2.50 - 3.00,,
makine muhendisligi,1,Hazirlik,,
yazilim muhendisligi,2,0.00 - 2.50,,
bahce bitkileri,4,3.00 - 3.50,,
isletme,3,2.50 - 3.00,,
gida muhendisligi,2,3.50 - 4.00,,
insaat muhendisligi,5,2.50 - 3.00,,
siyaset bilimi ve uluslararasi iliskiler,4,3.50 - 4.00,,
mimarlik,2,0.00 - 2.50,,
ozel egitim ogretmenligi,4,3.50 - 4.00,,
yonetim bilisim sistemleri,1,3.00 - 3.50,,
yazilim muhendisligi,3,3.00 - 3.50,,
siyaset bilimi ve kamu yonetimi,3,2.50 - 3.00,,
insaat muhendisligi,5,3.00 - 3.50,,
elektronik ve haberlesme muhendisligi,4,3.50 - 4.00,,
sosyoloji,1,Hazirlik,,
bilgisayar muhendisligi,4,3.50 - 4.00,,
sosyoloji,2,3.50 - 4.00,,
sosyoloji,2,0.00 - 2.50,,
iktisat,4,0.00 - 2.50,,
bankacilik ve finans,4,3.00 - 3.50,,
cocuk gelisimi,2,3.00 - 3.50,,
bilgisayar muhendisligi,3,2.50 - 3.00,,
tip,3,2.50 - 3.00,,
yazilim muhendisligi,4,0.00 - 2.50,,
bankacilik ve sigortacilik,2,2.50 - 3.00,,
hukuk,4,3.50 - 4.00,,
diger,2,3.00 - 3.50,,
ozel egitim ogretmenligi,2,2.50 - 3.00,,
fizik,1,Hazirlik,,
sosyal bilgiler ogretmenligi,2,3.00 - 3.50,,
tarih,4,2.50 - 3.00,,
beslenme ve diyetetik,3,3.00 - 3.50,,
okul oncesi ogretmenligi,2,3.00 - 3.50,,
ilkogretim matematik ogretmenligi,3,2.50 - 3.00,,
hemsirelik,3,2.50 - 3.00,,
rehberlik ve psikolojik danismanlik,2,3.00 - 3.50,,
hemsirelik,2,3.50 - 4.00,,
veteriner,2,2.50 - 3.00,,
dil ve konusma terapisi,2,3.00 - 3.50,,
uluslararasi iliskiler,1,Hazirlik,,
okul oncesi ogretmenligi,3,3.00 - 3.50,,
tarih,2,0.00 - 2.50,,
okul oncesi ogretmenligi,3,3.00 - 3.50,,
molekuler biyoloji ve genetik,2,0.00 - 2.50,,
ozel egitim ogretmenligi,4,2.50 - 3.00,,
biyokimya,3,3.00 - 3.50,,
ekonomi ve finans,4,2.50 - 3.00,,
insaat muhendisligi,5,0.00 - 2.50,,
ebelik,2,3.00 - 3.50,,
hemsirelik,2,2.50 - 3.00,,
iktisat,4,0.00 - 2.50,,
hemsirelik,3,3.50 - 4.00,,
turk dili ve edebiyati ogretmenligi,2,0.00 - 2.50,,
elektrik-elektronik muhendisligi,2,3.00 - 3.50,,
siyaset bilimi ve kamu yonetimi,3,2.50 - 3.00,,
diger,2,3.00 - 3.50,,
biyomuhendislik,4,2.50 - 3.00,,
hukuk,4,2.50 - 3.00,,
hemsirelik,3,3.00 - 3.50,,
isletme,5,2.50 - 3.00,,
sosyal hizmet,4,3.00 - 3.50,,
su bilimleri ve muhendisligi,3,0.00 - 2.50,,
bilgisayar muhendisligi,4,3.00 - 3.50,,
metalurji ve malzeme muhendisligi,1,Hazirlik,,
isletme,2,2.50 - 3.00,,
siyaset bilimi ve uluslararasi iliskiler,3,3.50 - 4.00,,
ilkogretim matematik ogretmenligi,2,3.50 - 4.00,,
endustri muhendisligi,3,3.50 - 4.00,,
bilgisayar muhendisligi,4,2.50 - 3.00,,
sinema ve televizyon,2,2.50 - 3.00,,
cagdas turk lehceleri ve edebiyatlari,4,3.00 - 3.50,,
endustri muhendisligi,3,3.00 - 3.50,,
kimya,2,3.00 - 3.50,,
bilgisayar bilimleri,1,3.00 - 3.50,,
uzay muhendisligi,2,3.50 - 4.00,,
uluslararasi iliskiler,3,3.00 - 3.50,,
psikoloji,3,0.00 - 2.50,,
bilgisayar muhendisligi,4,3.00 - 3.50,,
cografya,2,2.50 - 3.00,,
dis hekimligi,2,2.50 - 3.00,,
beslenme ve diyetetik,4,3.00 - 3.50,,
beden egitimi ve spor ogretmenligi,4,3.00 - 3.50,,
iletisim tasarimi,3,3.00 - 3.50,,
siyaset bilimi ve kamu yonetimi,3,0.00 - 2.50,,
gastronomi,2,3.00 - 3.50,,
mimarlik,4,2.50 - 3.00,,
isletme,6,0.00 - 2.50,,
endustriyel tasarim,1,Hazirlik,,
bilgisayar ve ogretim teknolojileri ogretmenligi,2,2.50 - 3.00,,
isletme,3,3.00 - 3.50,,
cografya,2,0.00 - 2.50,,
isletme,4,3.00 - 3.50,,
hukuk,4,2.50 - 3.00,,
uluslararasi iliskiler,3,3.00 - 3.50,,
veteriner,5,3.00 - 3.50,,
endustri muhendisligi,3,3.00 - 3.50,,
bilgisayar teknolojisi ve bilisim sistemleri,3,3.00 - 3.50,,
endustri muhendisligi,2,3.00 - 3.50,,
endustri muhendisligi,4,3.50 - 4.00,,
ilkogretim matematik ogretmenligi,2,0.00 - 2.50,,
diger,3,3.00 - 3.50,,
ingiliz dili ve edebiyati,4,3.00 - 3.50,,
sosyoloji,4,3.00 - 3.50,,
endustri muhendisligi,2,2.50 - 3.00,,
medya ve iletisim,2,2.50 - 3.00,,
psikoloji,2,3.50 - 4.00,,
tip,4,2.50 - 3.00,,
uluslararasi iliskiler,3,2.50 - 3.00,,
hukuk,2,2.50 - 3.00,,
halkla iliskiler ve tanitim,1,Hazirlik,,
dis hekimligi,3,3.00 - 3.50,,
molekuler biyoloji ve genetik,hazirlik,Hazirlik,,
saglik yonetimi,4,3.00 - 3.50,,
iktisat,3,0.00 - 2.50,,
uluslararasi iliskiler,3,2.50 - 3.00,,
mimarlik,3,3.00 - 3.50,,
bilgisayar muhendisligi,2,2.50 - 3.00,,
ingilizce mutercim ve tercumanlik,3,2.50 - 3.00,,
makine muhendisligi,4,2.50 - 3.00,,
isletme,1,Hazirlik,,
metalurji ve malzeme muhendisligi,3,3.00 - 3.50,,
isletme,3,0.00 - 2.50,,
rehberlik ve psikolojik danismanlik,4,3.50 - 4.00,,
istatistik,3,0.00 - 2.50,,
drama ve oyunculuk,4,3.00 - 3.50,,
elektrik-elektronik muhendisligi,5,2.50 - 3.00,,
mimarlik,5,3.00 - 3.50,,
bilgisayar muhendisligi,4,3.00 - 3.50,,
iktisat,4,2.50 - 3.00,,
ekonomi,4,2.50 - 3.00,,
siyaset bilimi ve kamu yonetimi,4,3.50 - 4.00,,
iktisat,2,0.00 - 2.50,,
eczacilik,2,3.00 - 3.50,,
yonetim bilisim sistemleri,3,0.00 - 2.50,,
fizyoterapi ve rehabilitasyon,2,0.00 - 2.50,,
isletme,2,0.00 - 2.50,,
siyaset bilimi ve uluslararasi iliskiler,2,3.50 - 4.00,,
fizik,2,3.00 - 3.50,,
makine muhendisligi,4,0.00 - 2.50,,
makine muhendisligi,2,2.50 - 3.00,,
diger,4,3.00 - 3.50,,
ingiliz dili ve edebiyati,4,3.00 - 3.50,,
isletme,3,3.00 - 3.50,,
iktisat,3,0.00 - 2.50,,
insaat muhendisligi,4,2.50 - 3.00,,
rehberlik ve psikolojik danismanlik,3,3.50 - 4.00,,
cocuk gelisimi,2,3.00 - 3.50,,
bilgisayar muhendisligi,3,2.50 - 3.00,,
hukuk,3,2.50 - 3.00,,
gumruk isletme,3,3.50 - 4.00,,
makine muhendisligi,3,0.00 - 2.50,,
hemsirelik,2,3.00 - 3.50,,
isletme muhendisligi,1,0.00 - 2.50,,
elektrik-elektronik muhendisligi,2,0.00 - 2.50,,
bilgisayar muhendisligi,4,3.00 - 3.50,,
elektrik-elektronik muhendisligi,3,3.00 - 3.50,,
ilahiyat,4,2.50 - 3.00,,
hukuk,3,0.00 - 2.50,,
fizyoterapi ve rehabilitasyon,3,3.00 - 3.50,,
isletme,2,0.00 - 2.50,,
elektrik-elektronik muhendisligi,4,2.50 - 3.00,,
fen bilgisi ogretmenligi,1,Hazirlik,,
ekonomi,3,3.00 - 3.50,,
iktisat,3,0.00 - 2.50,,
ilkogretim matematik ogretmenligi,4,3.00 - 3.50,,
rehberlik ve psikolojik danismanlik,4,3.00 - 3.50,,
sosyoloji,3,3.00 - 3.50,,
ekonomi ve finans,3,0.00 - 2.50,,
cevre muhendisligi,2,0.00 - 2.50,,
isletme,1,Hazirlik,,
isletme,2,2.50 - 3.00,,
matematik,1,Hazirlik,,
hukuk,3,2.50 - 3.00,,
yonetim bilisim sistemleri,3,0.00 - 2.50,,
bilgisayar muhendisligi,5,2.50 - 3.00,,
istatistik ve bilgisayar bilimleri,hazirlik,0.00 - 2.50,,
hukuk,3,2.50 - 3.00,,
makine muhendisligi,1,Hazirlik,,
sosyoloji,3,2.50 - 3.00,,
calisma ekonomisi ve endustri iliskileri,2,0.00 - 2.50,,
eczacilik,3,3.00 - 3.50,,
tip,2,3.00 - 3.50,,
endustri muhendisligi,3,0.00 - 2.50,,
isletme,3,0.00 - 2.50,,
eczacilik,5,3.00 - 3.50,,
elektrik-elektronik muhendisligi,2,3.50 - 4.00,,
elektrik-elektronik muhendisligi,4,0.00 - 2.50,,
siyaset bilimi ve uluslararasi iliskiler,2,3.50 - 4.00,,
sosyoloji,3,3.00 - 3.50,,
isletme,2,0.00 - 2.50,,
ingilizce ogretmenligi,2,3.00 - 3.50,,
ic mimarlik ve cevre tasarimi,3,3.00 - 3.50,,
hukuk,4,2.50 - 3.00,,
molekuler biyoloji ve genetik,4,2.50 - 3.00,,
molekuler biyoloji ve genetik,3,2.50 - 3.00,,
istatistik,2,0.00 - 2.50,,
kontrol ve otomasyon muhendisligi,1,Hazirlik,,
yonetim bilisim sistemleri,4,2.50 - 3.00,,
yonetim bilimleri,2,3.00 - 3.50,,
maden muhendisligi,1,Hazirlik,,
iktisat,4,3.00 - 3.50,,
mimarlik,4,2.50 - 3.00,,
tip,4,0.00 - 2.50,,
bilgisayar muhendisligi,4,3.00 - 3.50,,
mekatronik muhendisligi,4,3.00 - 3.50,,
biyomedikal muhendisligi,3,0.00 - 2.50,,
matematik muhendisligi,3,3.00 - 3.50,,
siyaset bilimi ve kamu yonetimi,4,3.00 - 3.50,,
makine muhendisligi,1,Hazirlik,,
dis hekimligi,3,3.00 - 3.50,,
kimya muhendisligi,3,2.50 - 3.00,,
ilahiyat,1,2.50 - 3.00,,
tip,2,0.00 - 2.50,,
okul oncesi ogretmenligi,3,2.50 - 3.00,,
tip,4,3.00 - 3.50,,
tip,2,3.00 - 3.50,,
hukuk,2,2.50 - 3.00,,
mimarlik,2,3.00 - 3.50,,
matematik,2,3.00 - 3.50,,
ilahiyat,3,3.00 - 3.50,,
tip,2,3.00 - 3.50,,
dis hekimligi,3,3.00 - 3.50,,
hemsirelik,3,3.00 - 3.50,,
rehberlik ve psikolojik danismanlik,2,3.00 - 3.50,,
yonetim bilisim sistemleri,1,Hazirlik,,
mekatronik muhendisligi,2,0.00 - 2.50,,
gastronomi ve mutfak sanatlari,2,0.00 - 2.50,,
